NPI_1,ZIP1,Lat1,Long1,City1,State1,Influence score_1,NPI_2,ZIP2,Lat2,Long2,City2,State2,Influence score_2,PM_ID Score,Panel Score,Trial Score,Affiliation Score,Events Score,Overall Connection Strength,No. of Connections
1457514440,2111,42.3477,-71.0622,Boston,Massachusetts,2.16,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.32,0,0,0,0,0.32,21
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1457514440,2111,42.3477,-71.0622,Boston,Massachusetts,2.16,0.2,0,0,1,0,1.2,28
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.41,0,0,0,0,0.41,27
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1891766986,75390,32.8104,-96.8466,Dallas,Texas,3.06,0.2,0,0,0,0,0.2,27
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.41,0,0,0,0,0.41,27
1255345559,2111,42.3502,-71.0597,Boston,Massachusetts,2.23,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.41,0,0,0,0,0.41,23
1255345559,2111,42.3502,-71.0597,Boston,Massachusetts,2.23,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.32,0,0,0,0,0.32,23
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1417394677,6519,41.2939,-72.9378,New Haven,Connecticut,3.31,0.2,0,0,0,0,0.2,27
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1669885372,85719,32.2463,-110.9485,Tucson,Arizona,1.08,0.2,0,0,0,0,0.2,27
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1497282057,21205,39.2989,-76.5673,Baltimore,Maryland,2.88,0.32,0,0,0,0,0.32,27
1255345559,2111,42.3502,-71.0597,Boston,Massachusetts,2.23,1639331473,77004,29.725,-95.3647,Houston,Texas,2.24,0.2,0,0,0,0,0.2,23
1255345559,2111,42.3502,-71.0597,Boston,Massachusetts,2.23,1548275050,43210,40.0038,-83.0262,Columbus,Ohio,3.36,0.2,0,0,0,0,0.2,23
1487018578,2111,42.3462,-71.0637,Boston,Massachusetts,0.54,1871904094,2111,42.3482,-71.0617,Boston,Massachusetts,1.27,0,0,0,1,0,1,18
1487018578,2111,42.3462,-71.0637,Boston,Massachusetts,0.54,1972820918,2111,42.3487,-71.0612,Boston,Massachusetts,0.92,0,0,0,1,0,1,18
1487018578,2111,42.3462,-71.0637,Boston,Massachusetts,0.54,1902959554,2111,42.3507,-71.0592,Boston,Massachusetts,3.07,0,0,0,1,0,1,18
1487018578,2111,42.3462,-71.0637,Boston,Massachusetts,0.54,1487948444,2111,42.3517,-71.0582,Boston,Massachusetts,0.78,0,0,0,1,0,1,18
